id,score,title,report
choa****,9,알라딘, 아이랑 봐야해서 더빙판으로 봤는데자스민공주역의 뮤지컬배우님정말 찰떡이더라구요~아주 굿이었어요정성화 배우님도 좋았어요:
vill****,2,맨 인 블랙: 인터내셔널, 완전 병맛  드럽게 재미없음
tana****,10,어린 의뢰인, 도저히 못 보 겠다.이 죄 값 을 어떻게 치울래....
lyin****,10,어린 의뢰인, 현대사회에 있어 타인에 대한 존중 
ozin****,2,맨 인 블랙: 인터내셔널, 노잼? 얘들 수준 영화 실망
deat****,1,맨 인 블랙: 인터내셔널, 중국 자본이 침식한 전형적인 영화. 되도 않는 속담과 명언과 유치한 대사만 가득한 빈껍데기 영화. 0점이 없는게 한이다.
bebe****,8,기생충, 2시간 시간 순삭이네요
xian****,8,주먹왕 랄프 2: 인터넷 속으로, 주먹왕 랄프 1때보단 별로였어요.
xian****,10,어벤져스: 엔드게임, 어벤져스 시리즈 1.2 땐 영화보다가 자버렸는데 엔드겜임은 끝까지 넘 재밌게 봣네요.
gran****,1,맨 인 블랙: 인터내셔널, 개망작 개망작 개망작 개망작
choa****,9,알라딘, 아이랑 봐야해서 더빙판으로 봤는데자스민공주역의 뮤지컬배우님정말 찰떡이더라구요~아주 굿이었어요정성화 배우님도 좋았어요:
vill****,2,맨 인 블랙: 인터내셔널, 완전 병맛  드럽게 재미없음
tana****,10,어린 의뢰인, 도저히 못 보 겠다.이 죄 값 을 어떻게 치울래....
lyin****,10,어린 의뢰인, 현대사회에 있어 타인에 대한 존중 
ozin****,2,맨 인 블랙: 인터내셔널, 노잼? 얘들 수준 영화 실망
deat****,1,맨 인 블랙: 인터내셔널, 중국 자본이 침식한 전형적인 영화. 되도 않는 속담과 명언과 유치한 대사만 가득한 빈껍데기 영화. 0점이 없는게 한이다.
bebe****,8,기생충, 2시간 시간 순삭이네요
xian****,8,주먹왕 랄프 2: 인터넷 속으로, 주먹왕 랄프 1때보단 별로였어요.
xian****,10,어벤져스: 엔드게임, 어벤져스 시리즈 1.2 땐 영화보다가 자버렸는데 엔드겜임은 끝까지 넘 재밌게 봣네요.
gran****,1,맨 인 블랙: 인터내셔널, 개망작 개망작 개망작 개망작
scv4****,10,어벤져스: 엔드게임, 졸잼 말 팔요없아 그냥 개 졸잼 
elva****,1,기생충, 여지껏 보다가 재미없어서 나온적은 처음
ta48****,10,알라딘, 원작만큼 최고!진짜 소장각인영화!!
scv4****,10,나의 특별한 형제, 신하균하고 광수 연기 너무 잘해요 영화보다가 슬퍼서 울었어요
ej2r****,10,맨 인 블랙: 인터내셔널, 앜ㅇㅋㅋ 포닠ㅋㅋ완전 갖고 싶다
scv4****,10,기생충, 꿀잼 ~ 오랜만에 재미있는 영화본 듯해용
xian****,10,아쿠아맨, 환상적이고 주인공 멋짐
wkm2****,10,알라딘, 여자 배우 멋지네요 감탄했습니다
xian****,10,극한직업, 영화끝날때까지 웃으면서 봣던 기억이.^^
toyw****,10,체 게바라: 2부 게릴라, 이념과 관계없는 그저 한 혁명가의 삶.
rani****,10,월드 워 좀비, 좀비영화의 최고봉 이 영화를 보면 다른 좀비영화는 시시해서 못본다 무려 493명만(최대피해자
toyw****,10,체 게바라: 1부 아르헨티나, 이념과 관계없는 그저 한 혁명가의 삶.
hilu****,5,알라딘, 적당히 재미있음. 디즈니  실사영화는 눈과 귀가 즐겁다. 나도 마법 양탄자 갖고 싶다.
juki****,10,호로비츠를 위하여, 다시봐도 감동 그자체!!
tmda****,10,기생충, 밋밋한듯 가장 화려한 영화
thdq****,10,알라딘, 그냥 미친존잼 보는내내 즐거움
wlsg****,10,기생충, 영화가 끝났을때 나는 약 10초간 아무런 생각도 할수가 없었다.
mkki****,1,맨 인 블랙: 인터내셔널, FXXK PC   FXXK PC    FXXK PCFXXK PC   FXXK PC    FXXK PCFXXK PC   FXXK PC    FXXK PCFXXK PC   FXXK PC    FXXK PC
xian****,8,맨 인 블랙: 인터내셔널, 주인공 넘 멋짐!!!!   근데 내용은 걍 그래요.  별 내용 없슴.
choe****,5,맨 인 블랙: 인터내셔널, 맨인블랙 시리드 광팬인 사람이 이름에 먹칠하는 졸작이라 칭하던데 평점이 높네.. 이걸 봐 말어
lth8****,10,알라딘, 너무 재미있는 영화였습니다. 돈이 아깝지 않았고 역시 디즈니이구나 하는 생각이 들었습니다. 우리나라에도 디즈니와 같은 회사가 있어서 우리의 이야기로 사람들에게 꿈과 희망을 줄 수 있는 영화를 만들어 주었으면 좋겠다는 생각을 해봅니다.
bbyo****,10,업사이드, 마지막에 무의식적으로 자동으로박수쳤어요ㅎㅎ  오랜만에 본 가슴 따뜻해지는 넘 기분좋은 영화였어요 빵빵 터지며 웃다가 마지막엔 힐링 제대로였습니다^^
grac****,10,천로역정: 천국을 찾아서, ^3^  강추합니다!!!!
tehe****,8,맨 인 블랙: 인터내셔널, 외계인들과 더리얼하게 자주싸웠으면 훨 재밌었을텐데 아쉬웠음..^^
clov****,10,알라딘, 잘만들었네요 믿고보는 디즈니
jem6****,1,트랜스포머: 사라진 시대, 내가 영화관에서 봤던 최악의 영화. 대학교때 새벽까지 술마시고 조조영화로 보러갔었는데 세시간 가까운 러닝타임동안 때려부수고 터지고 폭발하는 장면밖에 안나옴 무슨 내용인지는 당연히 모르겠고 개지루해서 자고싶은데 하도 시끄러워서 자지도 못함  신종고문인줄
wnsd****,10,맨 인 블랙: 인터내셔널, 오지는 수트빨 나오는 애들 다 너무 귀엽다
xian****,10,기생충, 영화를 보고나니 가슴속에 돌맹이 하나 엊어놓은듯합니다. 현실적인 한국사회라고할까요. 암튼 재밋게 봣습니다.
asri****,10,말모이, 아들과 재미있게봤습니다. 네이버예매하니 편해요
kanz****,7,라이언 일병 구하기, 아주 무난하게 만들어졌다 생각했는데 러닝타임 170분... 이 정도 길이를 무난하게 만든 거면 탄탄하게 만든 거다.
lush****,7,나의 특별한 형제, 현실과는 좀 맞지 않지만 그냥 영화로 볼땐 볼만합니다. 쏘쏘
naka****,10,기생충, 두번봤는데 처음봤을때랑 또다른 해석이 되네요 왜봉테일 하는지 알겠어요처음볼땐 송강호 이정은이 보였는데 두번째 볼땐 박소담이 눈에 들어오네요 앞으로가 기대되는 배우에요!
blue****,10,알라딘, 10번봐라 100번봐라  윌 스미스가 해냈다
kanz****,6,브이 포 벤데타, 개연성이..? 초반은 흥미로운데 후반까지 잘 끌고 가진 못한다
